date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:00	5045/5045	---M-Z	200	added ('OK')	image/svg+xml	etag:%2213b5-67da8d01-febdfba816278b8;gz%22	https://html.themewant.com/invena/assets/images/counterup/icon/01.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/counterup/icon/01.svg	(from https://html.themewant.com/invena/index.html)
21:43:00	15140/15140	---M-Z	200	added ('OK')	image/svg+xml	etag:%223b24-67da8d01-c325f22baf4926d;gz%22	https://html.themewant.com/invena/assets/images/counterup/icon/02.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/counterup/icon/02.svg	(from https://html.themewant.com/invena/index.html)
21:43:01	7375/7375	---M-Z	200	added ('OK')	image/svg+xml	etag:%221ccf-67da8d01-d4007c9070fe4750;gz%22	https://html.themewant.com/invena/assets/images/counterup/icon/03.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/counterup/icon/03.svg	(from https://html.themewant.com/invena/index.html)
21:43:01	7455/7455	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d1f-67da8d01-8f220f47939ad13a;gz%22	https://html.themewant.com/invena/assets/images/counterup/icon/04.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/counterup/icon/04.svg	(from https://html.themewant.com/invena/index.html)
21:43:01	81966/81966	---M--	200	added ('OK')	image/webp	etag:%221402e-67f62953-d04dce5fee1a87a9;;;%22	https://html.themewant.com/invena/assets/images/project/01.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/project/01.webp	(from https://html.themewant.com/invena/index.html)
21:43:01	29832/29832	---M--	200	added ('OK')	image/webp	etag:%227488-67f62953-ccbfcce5d52b52c;;;%22	https://html.themewant.com/invena/assets/images/project/02.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/project/02.webp	(from https://html.themewant.com/invena/index.html)
21:43:02	4358/4358	---M--	200	added ('OK')	image/webp	etag:%221106-67da8d01-e8cff795acbdb876;;;%22	https://html.themewant.com/invena/assets/images/client/1.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/client/1.webp	(from https://html.themewant.com/invena/index.html)
21:43:02	3866/3866	---M--	200	added ('OK')	image/webp	etag:%22f1a-67da8d01-5ebc37b0435703f2;;;%22	https://html.themewant.com/invena/assets/images/client/2.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/client/2.webp	(from https://html.themewant.com/invena/index.html)
21:43:02	5288/5288	---M--	200	added ('OK')	image/webp	etag:%2214a8-67da8d01-9973d397d1feefba;;;%22	https://html.themewant.com/invena/assets/images/client/3.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/client/3.webp	(from https://html.themewant.com/invena/index.html)
21:43:03	4342/4342	---M--	200	added ('OK')	image/webp	etag:%2210f6-67da8d01-3d90980001ee4c62;;;%22	https://html.themewant.com/invena/assets/images/client/4.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/client/4.webp	(from https://html.themewant.com/invena/index.html)
